53426,529,3
53426,592,5
53426,2,5
53426,8,4
53426,66,4
53426,48,5
53426,172,4
53426,189,5
53426,498,2
53426,514,5
53427,2,5
53427,48,4
53427,498,4
53427,514,5
53427,592,5
53427,23,5
53426,2187,5
53426,2,5
53426,5009,5
53426,23,5
53427,7068,5
53427,1041,5
53427,32,4
53427,17,4
53427,47,4
53427,1,4
53427,2187,4
53427,55,5
53428,17,4
53428,47,4
53428,1,4
53428,80,1
53426,47,5
53427,8,3
53426,1,5
53429,8,3
53429,48,5
53429,172,4
53429,498,5
53429,514,5
53429,529,4
53429,592,4
53429,80,5
53429,4,4
53429,13,5
53429,95,5
53429,15,1
53427,81,5
53426,50,4
53430,2,5
53430,48,5
53430,172,5
53430,189,4
53430,498,4
53430,514,4
53430,529,3
53430,592,5
53431,2,5
53431,189,5
53431,498,5
53431,514,5
53431,529,5
53431,592,5
53432,48,3
53432,498,3
53432,514,4
53432,592,4
53433,2,5
53433,66,5
53433,189,5
53433,514,5
53433,592,4
53434,592,4
53435,2,5
53435,48,4
53435,66,4
53435,172,5
53435,189,3
53435,498,3
53435,514,3
53435,592,4
53436,2,5
53436,48,5
53436,189,5
53436,498,5
53436,529,3
53436,592,5
53437,2,5
53437,11,3
53437,48,3
53437,66,2
53437,172,3
53437,189,5
53437,498,4
53437,514,5
53437,529,4
53437,592,4
53438,2,5
53438,48,5
53438,498,3
53438,514,5
53438,529,4
53438,592,3
53439,153,5
53439,48,5
53439,189,4
53439,514,5
53439,529,3
53440,498,4
53440,529,5
53440,592,5
53441,592,5
53442,2,5
53442,172,5
53442,498,5
53442,529,5
53441,66,5
53441,172,5
53441,498,3
53441,514,5
53441,529,5
53443,8,5
53443,48,4
53443,66,5
53443,172,5
53443,498,5
53443,514,5
53443,529,5
53443,592,5
53444,47,5
53444,48,4
53444,172,5
53443,1,5
53444,498,5
53444,112,4
53443,81,5
53443,19,5
53426,2187,5
53445,2,3
53445,48,4
53445,172,2
53445,189,4
53445,498,4
53445,514,5
53445,529,4
53445,592,5
53446,2,5
53446,48,5
53447,2,3
53447,498,1
53447,514,3
53446,529,5
53447,592,3
53446,592,5
53446,1,2
53449,2,4
53449,8,4
53449,48,4
53449,66,3
53449,172,4
53449,189,4
53449,498,5
53449,514,4
53449,529,4
53449,592,3
53449,1041,4
53449,47,4
53450,2,5
53450,8,5
53450,48,5
53450,66,5
53450,172,5
53450,189,5
53450,498,5
53450,514,5
53450,529,5
53450,592,5
53426,25,5
53426,38,5
53451,47,5
53451,134,5
53426,27,5
53452,2,5
53452,8,3
53452,48,5
53426,4,5
53427,30,5
53427,12,3
53451,41,5
53453,153,5
53426,42,5
53426,40,5
53426,20,5
53454,2,2
53454,8,3
53454,48,2
53454,66,5
53454,172,4
53454,189,5
53454,498,5
53454,514,5
53454,529,3
53454,592,4
53454,12,1
53454,42,1
53454,16,1
53427,5,4
53427,13,5
53427,56,2
53427,45,4
53427,25,5
53427,27,5
53427,34,3
53427,49,2
53427,24,5
53427,37,5
53427,21,5
53427,52,2
53427,44,3
53427,35,4
53427,18,4
53427,58,4
53427,26,4
53427,5009,5
53427,2982,5
53456,2,3
53456,172,3
53456,189,4
53456,498,4
53456,592,4
53456,19,4
53456,70,2
53456,50,1
53456,80,5
53456,12,2
53429,34,1
53429,5,4
53429,29,4
53456,7,4
53456,72,4
53456,59,2
53457,2,5
53457,8,4
53457,48,4
53457,66,2
53457,172,3
53457,189,5
53457,498,4
53457,514,5
53457,529,3
53457,592,5
53427,28,4
53427,70,5
53458,2,5
53458,8,3
53458,48,4
53458,66,4
53458,172,4
53458,189,2
53458,498,4
53458,514,1
53458,529,1
53458,592,3
53459,8,4
53459,48,3
53459,172,4
53459,498,3
53459,529,4
53459,592,5
53459,35,5
53459,271,5
53459,3127,4
53459,95,4
53459,1624,3
53459,4072,5
53460,8,4
53460,48,5
53460,172,4
53459,3928,4
53460,498,5
53460,514,4
53460,529,5
53461,2,5
53460,592,5
53462,2,5
53461,8,5
53462,8,3
53461,48,5
53462,48,4
53462,66,5
53462,172,5
53461,172,5
53462,498,5
53462,514,5
53461,498,5
53462,592,5
53461,529,4
53461,592,5
53459,63,5
53459,200,5
53459,10,5
53459,43,5
53459,121,3
53459,6392,3
53463,2,5
53463,48,5
53463,172,4
53463,498,3
53463,514,5
53463,529,5
53463,134,5
53463,1,5
53459,708,4
53464,2,5
53464,8,4
53464,48,4
53464,498,5
53464,514,5
53464,529,3
53464,592,5
53465,2,5
53465,8,4
53465,48,3
53466,2,5
53465,66,3
53465,172,5
53465,189,3
53466,8,4
53465,498,5
53465,514,5
53466,66,5
53465,529,5
53466,172,5
53465,592,5
53466,189,5
53466,498,5
53466,514,5
53466,529,4
53466,592,5
53446,8,2
53467,2,5
53446,66,3
53446,172,4
53446,189,5
53467,48,4
53446,498,5
53467,66,4
53446,514,5
53467,172,4
